GeneID	gene_name	GSM1480291	GSM1480292	GSM1480293	GSM1480294	GSM1480295	GSM1480296	GSM1480297	GSM1480298	GSM1480299	GSM1480300	GSM1480301	GSM1480302
73728	Psd	2067	2171	1901	1584	434	391	2867	2398	2432	1846	1629	1728
73729	Zfp383	67	42	23	32	22	20	116	82	57	49	77	104
73730	Lce1l	0	0	0	0	0	0	0	0	0	1	0	0
73732	Muc16	22	19	0	0	0	0	0	0	0	0	0	0
73736	Fcf1	297	318	258	235	87	116	220	197	164	185	163	137
73737	Bbln	671	953	1518	1577	1210	1290	728	1242	2087	2023	1232	769
73738	Haus7	347	353	284	231	300	270	526	450	657	552	496	492
73739	Cby1	195	206	127	124	70	83	196	171	230	208	220	243
73744	Man2c1	1611	1753	1078	1152	520	543	1424	1166	1327	1256	1114	1124
73747	Shld1	42	56	28	18	10	14	56	51	38	58	47	74
73748	Gadl1	0	0	2	0	0	0	0	1	1	0	0	0
73750	Whrn	295	332	210	186	64	73	395	241	301	282	294	224
73754	Thap1	186	174	169	174	136	110	230	203	181	122	172	151
73772	4930430J02Rik	0	0	1	0	0	0	0	0	0	0	0	2
73779	Prr27	0	0	0	0	2	0	0	0	0	0	0	0
73784	4930430F21Rik	0	0	0	0	0	0	0	0	0	1	0	0
73796	4930402F11Rik	0	0	0	0	0	0	0	0	0	0	0	0
73803	4930401C15Rik	0	0	0	0	0	0	0	0	0	0	0	0
73804	Kif2c	149	209	73	57	89	64	111	113	79	63	22	17
73806	4930406D18Rik	0	0	0	0	0	0	0	0	0	0	0	0
73808	Tex36	0	0	0	0	0	0	25	22	15	12	1	0
73809	Satl1	0	0	0	0	0	0	0	0	0	1	0	0
73811	4930405J17Rik	3	0	3	6	2	1	1	1	2	0	1	5
73813	Fam83e	40	89	5	10	2	4	5	11	6	11	9	4
73815	4930404H11Rik	0	0	0	0	0	0	0	0	0	0	0	0
73816	4930401O10Rik	0	0	0	0	0	0	0	0	0	0	0	0
73820	4930404A05Rik	0	0	0	0	0	0	0	0	0	0	0	0
73822	Mfsd12	272	317	449	352	359	337	113	60	93	64	68	84
73823	Gm17014	0	0	0	0	0	0	0	0	0	0	0	0
73824	Snhg6	405	375	206	192	93	93	352	366	424	362	195	153
73825	Ppp1r21	605	528	306	293	153	135	602	532	406	425	524	516
73826	Poldip3	2916	3196	3254	3039	1111	999	2664	2223	2160	1642	1673	1831
73827	Tmem198b	148	242	135	113	35	27	149	143	108	115	153	163
73828	Dcaf4	555	626	1080	1007	784	760	432	421	388	339	440	479
73830	Eif3k	2940	2819	2277	2246	920	870	2056	2121	1871	1718	1494	1414
73833	Fam98c	211	211	260	266	126	108	235	219	170	159	157	182
73834	Atp6v1d	1299	1411	1491	1636	1192	1207	552	552	753	756	742	693
73835	Ifitm5	1	7	1	3	1	1	19	20	14	12	13	25
73836	Slc35b2	1381	1412	1575	1440	1429	1507	1218	843	1101	856	867	903
73844	Ankrd45	0	0	0	0	0	0	21	8	1	5	0	2
73845	Ankrd42	232	227	108	133	55	41	240	232	201	260	199	178
73847	Fam110a	3397	3950	5067	5553	2324	2627	2020	1945	3288	2932	947	972
73852	D3Ertd751e	37	28	32	22	28	31	12	10	17	24	11	16
73856	4930428G15Rik	0	0	0	0	0	0	0	0	0	0	0	0
73862	Spmip7	4	1	2	7	2	1	0	0	3	0	0	0
73863	Spmip11	17	21	16	20	7	3	9	4	6	6	4	2
73865	4930425K10Rik	0	0	0	0	0	0	0	0	0	0	0	0
73866	Pabir3	0	0	0	0	0	0	0	0	2	0	0	0
73867	4930428E07Rik	0	0	0	0	0	0	0	0	0	0	0	0
73870	4930417O13Rik	12	11	0	0	0	0	8	8	2	2	4	2
73872	4930423M02Rik	0	0	0	0	0	0	0	0	0	0	0	0
73873	Fam161a	34	25	4	5	11	9	17	24	34	43	42	50
73874	4930419G24Rik	0	0	0	0	0	0	0	0	1	1	0	0
73877	4930432J09Rik	0	0	0	0	0	0	0	0	1	0	0	1
